id;nome_setor;codigo_setor;is_active
1;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;true
2;Licensed hacking installation;Argentine Peso;true
3;neural-net red;Buckinghamshire Future-proofed deposit;false
4;Yen synthesize Creative;Forint;true
5;azure;SMS Enhanced;true
6;parsing;Borders content-based;true
7;Agent;Human deposit;false
8;cross-media;programming SCSI drive;true
9;bypassing Marketing;Dynamic Home Loan Account Tools;false
10;invoice Home Gloves;Buckinghamshire Ports;true
