id;solicitante;data_solicitacao;data_envio;enviado_por;data_criacao;usuario_criacao;localizacao;observacao;nomenclatura;formato
1;withdrawal Generic Frozen Tuna;2019-12-08T17:28:06;2019-12-09T13:39:40;implement;2019-12-08T23:43:41;2019-12-08T16:20:46;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;incubate deposit Station
2;parsing Investment Account;2019-12-08T19:03:30;2019-12-08T15:40:48;Dynamic black;2019-12-09T13:05:02;2019-12-09T09:35:54;utilize;Generic;robust withdrawal generate;Garden open-source hybrid
3;Solomon Islands Dollar;2019-12-09T06:23:18;2019-12-08T23:39:14;HTTP system mobile;2019-12-09T07:58:47;2019-12-09T01:35:50;deliverables;multi-byte Producer;Cotton Robust;user-centric Infrastructure
4;Managed Dobra application;2019-12-09T09:01:51;2019-12-09T12:16:25;Global Berkshire;2019-12-08T18:54:49;2019-12-09T05:23:52;superstructure;streamline;Interactions;Fantastic time-frame Quality
5;Borders Borders Practical;2019-12-09T12:32:51;2019-12-09T07:42:41;knowledge user Danish Krone;2019-12-08T20:41:30;2019-12-08T16:02:24;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;program Auto Loan Account Refined
6;infomediaries;2019-12-09T09:24:24;2019-12-09T13:00:08;programming panel;2019-12-09T12:47:46;2019-12-09T02:25:43;Visionary;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek
7;mesh system Triple-buffered;2019-12-09T06:49:21;2019-12-09T12:04:47;Bedfordshire Tools;2019-12-09T03:30:03;2019-12-09T01:02:00;hack;Fresh payment synthesize;Versatile seize;asymmetric EXE
8;web services;2019-12-08T19:29:53;2019-12-09T14:27:24;Designer Incredible Fresh Car Tuvalu;2019-12-08T14:55:03;2019-12-08T16:41:24;Optional;Associate Central African Republic Savings Account;heuristic Orchestrator Naira;Legacy Unbranded Plastic Chips
9;Unbranded Cotton Table Generic B2B;2019-12-09T10:40:34;2019-12-09T10:14:01;Junctions one-to-one;2019-12-09T00:44:27;2019-12-09T08:21:58;holistic;Architect;Beauty dynamic schemas;Pound Sterling Keyboard
10;Licensed Usability models;2019-12-09T00:48:02;2019-12-09T00:01:36;markets Accountability EXE;2019-12-09T13:39:47;2019-12-09T10:47:33;portals;online Strategist Shirt;navigate redefine;generating bypassing Bypass
